time_ns,transaction,phase,location,vc,detail
0,event_denoise:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
1.0,event_denoise:mmio,REQ_ROUTER,tile0->tile6,0,plane=0; flits=1
5.0,event_denoise:mmio,REQ_ROUTER,tile6->tile12,0,plane=0; flits=1
9.0,event_denoise:mmio,REQ_ROUTER,tile12->tile18,0,plane=0; flits=1
13.0,event_denoise:mmio,REQ_ROUTER,tile18->tile24,0,plane=0; flits=1
14.5,event_denoise:mmio,END_REQ,tile24,,MMIO_PROGRAM
18.5,event_denoise:mmio,BEGIN_RESP,tile24,,MMIO_PROGRAM
21.0,event_denoise:mmio,RESP_ROUTER,tile24->tile18,0,plane=0; flits=1
25.0,event_denoise:mmio,RESP_ROUTER,tile18->tile12,0,plane=0; flits=1
29.0,event_denoise:mmio,RESP_ROUTER,tile12->tile6,0,plane=0; flits=1
33.0,event_denoise:mmio,RESP_ROUTER,tile6->tile0,0,plane=0; flits=1
34.5,event_denoise:iommu_read,BEGIN_REQ,tile24,,IOMMU_TRANSLATE
34.5,event_denoise:mmio,END_RESP,tile0,,MMIO_PROGRAM
37.0,event_denoise:iommu_read,REQ_ROUTER,tile24->tile25,0,plane=0; flits=2
41.0,event_denoise:iommu_read,REQ_ROUTER,tile25->tile19,0,plane=0; flits=2
45.0,event_denoise:iommu_read,REQ_ROUTER,tile19->tile13,0,plane=0; flits=2
49.0,event_denoise:iommu_read,REQ_ROUTER,tile13->tile7,0,plane=0; flits=2
51.5,event_denoise:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
60.5,event_denoise:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
63.0,event_denoise:iommu_read,RESP_ROUTER,tile7->tile6,0,plane=0; flits=1
67.0,event_denoise:iommu_read,RESP_ROUTER,tile6->tile12,1,plane=0; flits=1
71.0,event_denoise:iommu_read,RESP_ROUTER,tile12->tile18,1,plane=0; flits=1
75.0,event_denoise:iommu_read,RESP_ROUTER,tile18->tile24,1,plane=0; flits=1
76.5,event_denoise:dma_read,BEGIN_REQ,tile24,,DMA_READ
76.5,event_denoise:iommu_read,END_RESP,tile24,,IOMMU_TRANSLATE
79.0,event_denoise:dma_read,REQ_ROUTER,tile24->tile25,1,plane=0; flits=2
83.0,event_denoise:dma_read,REQ_ROUTER,tile25->tile26,0,plane=0; flits=2
87.0,event_denoise:dma_read,REQ_ROUTER,tile26->tile27,0,plane=0; flits=2
91.0,event_denoise:dma_read,REQ_ROUTER,tile27->tile28,0,plane=0; flits=2
95.0,event_denoise:dma_read,REQ_ROUTER,tile28->tile22,0,plane=0; flits=2
97.5,event_denoise:dma_read,END_REQ,tile22,,DMA_READ
4196.5,event_denoise:dma_read,BEGIN_RESP,tile22,,DMA_READ
4199.0,event_denoise:dma_read,RESP_ROUTER,tile22->tile21,0,plane=0; flits=16384
21097.0,event_denoise:dma_read,RESP_ROUTER,tile21->tile20,0,plane=0; flits=16384
37995.0,event_denoise:dma_read,RESP_ROUTER,tile20->tile19,0,plane=0; flits=16384
54893.0,event_denoise:dma_read,RESP_ROUTER,tile19->tile18,0,plane=0; flits=16384
71791.0,event_denoise:dma_read,RESP_ROUTER,tile18->tile24,2,plane=0; flits=16384
88687.0,event_denoise:dma_read,END_RESP,tile24,,DMA_READ
259141.54545454544,event_denoise:iommu_write,BEGIN_REQ,tile24,,IOMMU_TRANSLATE
259143.0,event_denoise:iommu_write,REQ_ROUTER,tile24->tile25,2,plane=0; flits=2
259147.0,event_denoise:iommu_write,REQ_ROUTER,tile25->tile19,1,plane=0; flits=2
259151.0,event_denoise:iommu_write,REQ_ROUTER,tile19->tile13,1,plane=0; flits=2
259155.0,event_denoise:iommu_write,REQ_ROUTER,tile13->tile7,1,plane=0; flits=2
259157.5,event_denoise:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
259166.5,event_denoise:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
259169.0,event_denoise:iommu_write,RESP_ROUTER,tile7->tile6,1,plane=0; flits=1
259173.0,event_denoise:iommu_write,RESP_ROUTER,tile6->tile12,2,plane=0; flits=1
259177.0,event_denoise:iommu_write,RESP_ROUTER,tile12->tile18,2,plane=0; flits=1
