time_ns,transaction,phase,location,vc,detail
0,front_isp:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,imu_visual_ekf:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
0,radar_fft:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
1.0,front_isp:mmio,REQ_ROUTER,tile0->tile1,0,plane=0; flits=1
1.0,imu_visual_ekf:mmio,REQ_ROUTER,tile0->tile1,2,plane=1; flits=1
1.0,radar_fft:mmio,REQ_ROUTER,tile0->tile1,0,plane=2; flits=1
5.0,front_isp:mmio,REQ_ROUTER,tile1->tile2,0,plane=0; flits=1
5.0,imu_visual_ekf:mmio,REQ_ROUTER,tile1->tile2,0,plane=1; flits=1
5.0,radar_fft:mmio,REQ_ROUTER,tile1->tile2,2,plane=1; flits=1
9.0,front_isp:mmio,REQ_ROUTER,tile2->tile3,0,plane=0; flits=1
9.0,imu_visual_ekf:mmio,REQ_ROUTER,tile2->tile3,2,plane=0; flits=1
9.0,radar_fft:mmio,REQ_ROUTER,tile2->tile3,0,plane=1; flits=1
10.5,radar_fft:mmio,END_REQ,tile3,,MMIO_PROGRAM
13.0,front_isp:mmio,REQ_ROUTER,tile3->tile4,0,plane=0; flits=1
13.0,imu_visual_ekf:mmio,REQ_ROUTER,tile3->tile9,0,plane=0; flits=1
14.5,radar_fft:mmio,BEGIN_RESP,tile3,,MMIO_PROGRAM
17.0,front_isp:mmio,REQ_ROUTER,tile4->tile10,0,plane=0; flits=1
17.0,imu_visual_ekf:mmio,REQ_ROUTER,tile9->tile15,0,plane=0; flits=1
17.0,radar_fft:mmio,RESP_ROUTER,tile3->tile2,0,plane=0; flits=1
21.0,front_isp:mmio,REQ_ROUTER,tile10->tile16,0,plane=0; flits=1
21.0,imu_visual_ekf:mmio,REQ_ROUTER,tile15->tile21,0,plane=0; flits=1
21.0,radar_fft:mmio,RESP_ROUTER,tile2->tile1,0,plane=0; flits=1
22.5,imu_visual_ekf:mmio,END_REQ,tile21,,MMIO_PROGRAM
25.0,front_isp:mmio,REQ_ROUTER,tile16->tile22,0,plane=0; flits=1
25.0,radar_fft:mmio,RESP_ROUTER,tile1->tile0,2,plane=0; flits=1
26.5,imu_visual_ekf:mmio,BEGIN_RESP,tile21,,MMIO_PROGRAM
26.5,radar_fft:iommu_read,BEGIN_REQ,tile3,,IOMMU_TRANSLATE
26.5,radar_fft:mmio,END_RESP,tile0,,MMIO_PROGRAM
29.0,front_isp:mmio,REQ_ROUTER,tile22->tile28,0,plane=0; flits=1
29.0,imu_visual_ekf:mmio,RESP_ROUTER,tile21->tile20,0,plane=0; flits=1
29.0,radar_fft:iommu_read,REQ_ROUTER,tile3->tile2,1,plane=0; flits=2
33.0,front_isp:mmio,REQ_ROUTER,tile28->tile34,0,plane=0; flits=1
33.0,imu_visual_ekf:mmio,RESP_ROUTER,tile20->tile19,0,plane=0; flits=1
33.0,radar_fft:iommu_read,REQ_ROUTER,tile2->tile1,1,plane=0; flits=2
34.5,front_isp:mmio,END_REQ,tile34,,MMIO_PROGRAM
37.0,imu_visual_ekf:mmio,RESP_ROUTER,tile19->tile18,0,plane=0; flits=1
37.0,radar_fft:iommu_read,REQ_ROUTER,tile1->tile7,0,plane=1; flits=2
38.5,front_isp:mmio,BEGIN_RESP,tile34,,MMIO_PROGRAM
39.5,radar_fft:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
41.0,front_isp:mmio,RESP_ROUTER,tile34->tile33,0,plane=0; flits=1
41.0,imu_visual_ekf:mmio,RESP_ROUTER,tile18->tile12,0,plane=1; flits=1
45.0,front_isp:mmio,RESP_ROUTER,tile33->tile32,0,plane=0; flits=1
45.0,imu_visual_ekf:mmio,RESP_ROUTER,tile12->tile6,0,plane=1; flits=1
49.0,front_isp:mmio,RESP_ROUTER,tile32->tile31,0,plane=0; flits=1
49.0,imu_visual_ekf:mmio,RESP_ROUTER,tile6->tile0,0,plane=1; flits=1
50.5,imu_visual_ekf:iommu_read,BEGIN_REQ,tile21,,IOMMU_TRANSLATE
50.5,imu_visual_ekf:mmio,END_RESP,tile0,,MMIO_PROGRAM
53.0,front_isp:mmio,RESP_ROUTER,tile31->tile30,0,plane=0; flits=1
53.0,imu_visual_ekf:iommu_read,REQ_ROUTER,tile21->tile20,1,plane=0; flits=2
57.0,front_isp:mmio,RESP_ROUTER,tile30->tile24,0,plane=0; flits=1
57.0,imu_visual_ekf:iommu_read,REQ_ROUTER,tile20->tile19,1,plane=0; flits=2
61.0,front_isp:mmio,RESP_ROUTER,tile24->tile18,0,plane=0; flits=1
61.0,imu_visual_ekf:iommu_read,REQ_ROUTER,tile19->tile13,2,plane=1; flits=2
65.0,front_isp:mmio,RESP_ROUTER,tile18->tile12,0,plane=0; flits=1
65.0,imu_visual_ekf:iommu_read,REQ_ROUTER,tile13->tile7,0,plane=2; flits=2
67.5,imu_visual_ekf:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
69.0,front_isp:mmio,RESP_ROUTER,tile12->tile6,0,plane=0; flits=1
73.0,front_isp:mmio,RESP_ROUTER,tile6->tile0,0,plane=0; flits=1
74.5,front_isp:iommu_read,BEGIN_REQ,tile34,,IOMMU_TRANSLATE
74.5,front_isp:mmio,END_RESP,tile0,,MMIO_PROGRAM
77.0,front_isp:iommu_read,REQ_ROUTER,tile34->tile33,1,plane=0; flits=2
81.0,front_isp:iommu_read,REQ_ROUTER,tile33->tile32,1,plane=0; flits=2
85.0,front_isp:iommu_read,REQ_ROUTER,tile32->tile31,1,plane=0; flits=2
89.0,front_isp:iommu_read,REQ_ROUTER,tile31->tile25,0,plane=0; flits=2
93.0,front_isp:iommu_read,REQ_ROUTER,tile25->tile19,0,plane=0; flits=2
97.0,front_isp:iommu_read,REQ_ROUTER,tile19->tile13,0,plane=0; flits=2
100,side_detect:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
101.0,front_isp:iommu_read,REQ_ROUTER,tile13->tile7,0,plane=0; flits=2
101.0,side_detect:mmio,REQ_ROUTER,tile0->tile1,0,plane=3; flits=1
103.5,front_isp:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
105.0,side_detect:mmio,REQ_ROUTER,tile1->tile2,2,plane=2; flits=1
106.5,side_detect:mmio,END_REQ,tile2,,MMIO_PROGRAM
110.5,side_detect:mmio,BEGIN_RESP,tile2,,MMIO_PROGRAM
112.5,front_isp:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
113.0,side_detect:mmio,RESP_ROUTER,tile2->tile1,0,plane=2; flits=1
115.0,front_isp:iommu_read,RESP_ROUTER,tile7->tile8,0,plane=0; flits=1
117.0,side_detect:mmio,RESP_ROUTER,tile1->tile0,0,plane=1; flits=1
118.5,side_detect:iommu_read,BEGIN_REQ,tile2,,IOMMU_TRANSLATE
118.5,side_detect:mmio,END_RESP,tile0,,MMIO_PROGRAM
119.0,front_isp:iommu_read,RESP_ROUTER,tile8->tile9,0,plane=0; flits=1
121.0,side_detect:iommu_read,REQ_ROUTER,tile2->tile1,1,plane=2; flits=2
123.0,front_isp:iommu_read,RESP_ROUTER,tile9->tile10,0,plane=0; flits=1
125.0,side_detect:iommu_read,REQ_ROUTER,tile1->tile7,2,plane=2; flits=2
127.0,front_isp:iommu_read,RESP_ROUTER,tile10->tile16,1,plane=0; flits=1
127.5,side_detect:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
131.0,front_isp:iommu_read,RESP_ROUTER,tile16->tile22,1,plane=0; flits=1
135.0,front_isp:iommu_read,RESP_ROUTER,tile22->tile28,1,plane=0; flits=1
139.0,front_isp:iommu_read,RESP_ROUTER,tile28->tile34,1,plane=0; flits=1
140.5,front_isp:dma_read,BEGIN_REQ,tile34,,DMA_READ
140.5,front_isp:iommu_read,END_RESP,tile34,,IOMMU_TRANSLATE
143.0,front_isp:dma_read,REQ_ROUTER,tile34->tile33,2,plane=0; flits=2
147.0,front_isp:dma_read,REQ_ROUTER,tile33->tile32,2,plane=0; flits=2
151.0,front_isp:dma_read,REQ_ROUTER,tile32->tile31,2,plane=0; flits=2
155.0,front_isp:dma_read,REQ_ROUTER,tile31->tile25,1,plane=0; flits=2
157.5,front_isp:dma_read,END_REQ,tile25,,DMA_READ
540289.5,front_isp:dma_read,BEGIN_RESP,tile25,,DMA_READ
540291.0,front_isp:dma_read,RESP_ROUTER,tile25->tile26,0,plane=0; flits=216000
763043.0,front_isp:dma_read,RESP_ROUTER,tile26->tile27,0,plane=0; flits=216000
985795.0,front_isp:dma_read,RESP_ROUTER,tile27->tile28,0,plane=0; flits=216000
1208547.0,front_isp:dma_read,RESP_ROUTER,tile28->tile34,2,plane=0; flits=216000
1431297.0,front_isp:dma_read,END_RESP,tile34,,DMA_READ
1686978.8181818181,front_isp:iommu_write,BEGIN_REQ,tile34,,IOMMU_TRANSLATE
1686981.0,front_isp:iommu_write,REQ_ROUTER,tile34->tile33,3,plane=0; flits=2
1686985.0,front_isp:iommu_write,REQ_ROUTER,tile33->tile32,3,plane=0; flits=2
1686989.0,front_isp:iommu_write,REQ_ROUTER,tile32->tile31,3,plane=0; flits=2
1686993.0,front_isp:iommu_write,REQ_ROUTER,tile31->tile25,2,plane=0; flits=2
1686997.0,front_isp:iommu_write,REQ_ROUTER,tile25->tile19,1,plane=0; flits=2
1687001.0,front_isp:iommu_write,REQ_ROUTER,tile19->tile13,1,plane=0; flits=2
1687005.0,front_isp:iommu_write,REQ_ROUTER,tile13->tile7,1,plane=0; flits=2
1687007.5,front_isp:iommu_write,END_REQ,tile7,,IOMMU_TRANSLATE
1687016.5,front_isp:iommu_write,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
1687019.0,front_isp:iommu_write,RESP_ROUTER,tile7->tile8,1,plane=0; flits=1
1687023.0,front_isp:iommu_write,RESP_ROUTER,tile8->tile9,1,plane=0; flits=1
1687027.0,front_isp:iommu_write,RESP_ROUTER,tile9->tile10,1,plane=0; flits=1
1687031.0,front_isp:iommu_write,RESP_ROUTER,tile10->tile16,2,plane=0; flits=1
1687035.0,front_isp:iommu_write,RESP_ROUTER,tile16->tile22,2,plane=0; flits=1
1687039.0,front_isp:iommu_write,RESP_ROUTER,tile22->tile28,2,plane=0; flits=1
1687043.0,front_isp:iommu_write,RESP_ROUTER,tile28->tile34,3,plane=0; flits=1
1687044.5,front_isp:dma_write,BEGIN_REQ,tile34,,DMA_WRITE
1687044.5,front_isp:iommu_write,END_RESP,tile34,,IOMMU_TRANSLATE
1687047.0,front_isp:dma_write,REQ_ROUTER,tile34->tile33,0,plane=1; flits=76800
1766249.0,front_isp:dma_write,REQ_ROUTER,tile33->tile32,0,plane=1; flits=76800
1845451.0,front_isp:dma_write,REQ_ROUTER,tile32->tile31,0,plane=1; flits=76800
1924653.0,front_isp:dma_write,REQ_ROUTER,tile31->tile25,3,plane=0; flits=76800
2003853.0,front_isp:dma_write,END_REQ,tile25,,DMA_WRITE
2195985.0,front_isp:dma_write,BEGIN_RESP,tile25,,DMA_WRITE
2195987.0,front_isp:dma_write,RESP_ROUTER,tile25->tile26,1,plane=0; flits=1
2195991.0,front_isp:dma_write,RESP_ROUTER,tile26->tile27,1,plane=0; flits=1
2195995.0,front_isp:dma_write,RESP_ROUTER,tile27->tile28,1,plane=0; flits=1
2195999.0,front_isp:dma_write,RESP_ROUTER,tile28->tile34,0,plane=1; flits=1
2196000.5,front_isp:dma_write,END_RESP,tile34,,DMA_WRITE
2196000.5,front_isp:irq_raise,BEGIN_REQ,tile34,,IRQ_RAISE
2196003.0,front_isp:irq_raise,REQ_ROUTER,tile34->tile33,1,plane=1; flits=1
2196007.0,front_isp:irq_raise,REQ_ROUTER,tile33->tile32,1,plane=1; flits=1
2196011.0,front_isp:irq_raise,REQ_ROUTER,tile32->tile31,1,plane=1; flits=1
2196015.0,front_isp:irq_raise,REQ_ROUTER,tile31->tile30,1,plane=0; flits=1
2196019.0,front_isp:irq_raise,REQ_ROUTER,tile30->tile24,1,plane=0; flits=1
2196023.0,front_isp:irq_raise,REQ_ROUTER,tile24->tile18,1,plane=0; flits=1
2196027.0,front_isp:irq_raise,REQ_ROUTER,tile18->tile12,1,plane=0; flits=1
2196031.0,front_isp:irq_raise,REQ_ROUTER,tile12->tile6,1,plane=0; flits=1
2196035.0,front_isp:irq_raise,REQ_ROUTER,tile6->tile0,1,plane=0; flits=1
2196036.5,front_isp:irq_raise,END_REQ,tile0,,IRQ_RAISE
2196040.5,front_isp:irq_raise,BEGIN_RESP,tile0,,IRQ_RAISE
2196043.0,front_isp:irq_raise,RESP_ROUTER,tile0->tile1,1,plane=0; flits=1
2196047.0,front_isp:irq_raise,RESP_ROUTER,tile1->tile2,1,plane=0; flits=1
