time_ns,transaction,phase,location,vc,detail
0,audio_decode:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
1.0,audio_decode:mmio,REQ_ROUTER,tile0->tile6,0,plane=0; flits=1
2.5,audio_decode:mmio,END_REQ,tile6,,MMIO_PROGRAM
6.5,audio_decode:mmio,BEGIN_RESP,tile6,,MMIO_PROGRAM
9.0,audio_decode:mmio,RESP_ROUTER,tile6->tile0,0,plane=0; flits=1
10.5,audio_decode:iommu_read,BEGIN_REQ,tile6,,IOMMU_TRANSLATE
10.5,audio_decode:mmio,END_RESP,tile0,,MMIO_PROGRAM
13.0,audio_decode:iommu_read,REQ_ROUTER,tile6->tile7,0,plane=0; flits=2
15.5,audio_decode:iommu_read,END_REQ,tile7,,IOMMU_TRANSLATE
24.5,audio_decode:iommu_read,BEGIN_RESP,tile7,,IOMMU_TRANSLATE
27.0,audio_decode:iommu_read,RESP_ROUTER,tile7->tile6,0,plane=0; flits=1
28.5,audio_decode:dma_read,BEGIN_REQ,tile6,,DMA_READ
28.5,audio_decode:iommu_read,END_RESP,tile6,,IOMMU_TRANSLATE
31.0,audio_decode:dma_read,REQ_ROUTER,tile6->tile7,1,plane=0; flits=2
33.5,audio_decode:dma_read,END_REQ,tile7,,DMA_READ
16429.5,audio_decode:dma_read,BEGIN_RESP,tile7,,DMA_READ
16431.0,audio_decode:dma_read,RESP_ROUTER,tile7->tile6,1,plane=0; flits=32768
50223.0,audio_decode:dma_read,END_RESP,tile6,,DMA_READ
391132.0909090909,audio_decode:irq_raise,BEGIN_REQ,tile6,,IRQ_RAISE
391135.0,audio_decode:irq_raise,REQ_ROUTER,tile6->tile0,1,plane=0; flits=1
391136.5,audio_decode:irq_raise,END_REQ,tile0,,IRQ_RAISE
391140.5,audio_decode:irq_raise,BEGIN_RESP,tile0,,IRQ_RAISE
391143.0,audio_decode:irq_raise,RESP_ROUTER,tile0->tile6,1,plane=0; flits=1
391144.5,audio_decode:irq_deliver,BEGIN_REQ,tile0,,IRQ_DELIVER
391144.5,audio_decode:irq_raise,END_RESP,tile6,,IRQ_RAISE
391147.0,audio_decode:irq_deliver,BEGIN_RESP,tile0,,IRQ_DELIVER
391147.0,audio_decode:irq_deliver,END_REQ,tile0,,IRQ_DELIVER
391147.0,audio_decode:irq_deliver,REQ_LOCAL,tile0,,16 B
391149.0,audio_decode:irq_deliver,END_RESP,tile0,,IRQ_DELIVER
391149.0,audio_decode:irq_deliver,RESP_LOCAL,tile0,,16 B
391149.0,fft:mmio,BEGIN_REQ,tile0,,MMIO_PROGRAM
391151.0,fft:mmio,REQ_ROUTER,tile0->tile1,0,plane=0; flits=1
391155.0,fft:mmio,REQ_ROUTER,tile1->tile2,0,plane=0; flits=1
391159.0,fft:mmio,REQ_ROUTER,tile2->tile3,0,plane=0; flits=1
391160.5,fft:mmio,END_REQ,tile3,,MMIO_PROGRAM
391164.5,fft:mmio,BEGIN_RESP,tile3,,MMIO_PROGRAM
391167.0,fft:mmio,RESP_ROUTER,tile3->tile2,0,plane=0; flits=1
391171.0,fft:mmio,RESP_ROUTER,tile2->tile1,0,plane=0; flits=1
391175.0,fft:mmio,RESP_ROUTER,tile1->tile0,0,plane=0; flits=1
391176.5,fft:mmio,END_RESP,tile0,,MMIO_PROGRAM
391176.5,fft:stream,BEGIN_REQ,tile6,,DIRECT_STREAM
